freq,input_real,input_imag,input_mag,input_phase_rad,output_real,output_imag,output_mag,output_phase_rad,h_real,h_imag,h_mag,h_phase_rad,h_mag_db,h_phase_calc,h_phase_unwrap
100,-3652.358,380.287,7.172,3.038,-786.027,-9371.672,18.368,-1.654,-0.051398,2.560572,2.561087,1.590867,8.16848934832315,1.59086649025063,1.59086649025063
1100,-1515.799,2870.685,6.34,2.057,-3056.188,-1607.262,6.744,-2.657,0.001767,1.063687,1.063688,1.569135,0.536289014407178,1.56913512535631,1.56913512535631
2100,-3268.811,-159.382,6.392,-3.093,-6687.305,-5324.781,16.696,-2.469,2.120176,1.525589,2.612005,0.623732,8.33947877264557,0.623731708929606,0.623731708929606
3100,7055.216,6662.343,18.953,0.757,-8821.461,-1448.151,17.46,-2.979,-0.763415,0.515645,0.921245,2.547538,-0.712497747805679,2.54753719963708,2.54753719963708
4100,3373.928,2686.118,8.423,0.672,-6778.344,1729.662,13.663,2.892,-0.979834,1.29274,1.622113,2.219367,4.20162340152668,2.21936689374981,2.21936689374981
5100,13386.794,-2645.619,26.652,-0.195,6530.076,527.637,12.796,0.081,0.461967,0.130713,0.480104,0.275741,-6.37330205549854,0.275741009063031,0.275741009063031
6100,11049.036,-7062.485,25.612,-0.569,407.964,836.203,1.817,1.117,-0.00813,0.070484,0.070952,1.685636,-22.9807892462608,1.68563415945571,1.68563415945571
7100,2314.784,-4083.285,9.168,-1.055,262.071,-1305.87,2.601,-1.373,0.269564,-0.088632,0.283761,-0.317664,-10.9409417601341,-0.317662867485098,-0.317662867485098
8100,873.343,415.479,1.889,0.444,-1816.317,262.317,3.584,2.998,-1.579387,1.051728,1.897524,2.554115,5.56374283923891,2.55411477974728,2.55411477974728
9100,4179.395,8097.842,17.798,1.094,-5884.061,4324.868,14.263,2.508,0.125602,0.791446,0.80135,1.413409,-1.92354969113755,1.41340946358487,1.41340946358487
10100,5273.309,15782.207,32.5,1.248,-2806.159,12381.747,24.796,1.794,0.652303,0.395759,0.762971,0.545339,-2.34984204232148,0.545338998292068,0.545338998292068
11100,20988.75,8399.508,44.154,0.381,16008.315,16429.744,44.803,0.798,0.927442,0.411634,1.014688,0.417718,0.126648275803618,0.417717801088142,0.417717801088142
12100,25394.73,8972.741,52.604,0.34,17720.215,15898.261,46.498,0.731,0.816996,0.337376,0.883915,0.391617,-1.07179380054736,0.391617469822709,0.391617469822709
13100,18226.547,-11483.978,42.076,-0.562,24652.066,5810.17,49.468,0.231,0.824407,0.838208,1.175687,0.793699,1.40583316187636,0.7936987519502,0.7936987519502
14100,8418.139,-14289.521,32.392,-1.038,22020.486,-4790.874,44.015,-0.214,0.922835,0.99737,1.358812,0.824195,2.66319053584634,0.824194854359909,0.824194854359909
15100,1816.992,-7200.436,14.504,-1.324,8289.926,-10638.966,26.343,-0.909,1.662224,0.731855,1.816205,0.414747,5.18329702986248,0.414746986639185,0.414746986639185
16100,7211.906,2496.628,14.906,0.333,1675.64,1274.293,4.112,0.65,0.262101,0.085958,0.275836,0.316906,-11.1869689115789,0.316904565740097,0.316904565740097
17100,26965.758,3456.204,53.098,0.127,6870.47,24193.771,49.122,1.294,0.363803,0.850575,0.925111,1.166629,-0.676122638639705,1.16662898120532,1.16662898120532
18100,63747.516,14272.318,127.589,0.22,44550.875,47445.172,127.116,0.817,0.824184,0.559742,0.996288,0.596593,-0.032299415355779,0.596593063367739,0.596593063367739
19100,161070.125,-57645.367,334.13,-0.344,166445.938,47726.727,338.19,0.279,0.822038,0.590509,1.01215,0.622934,0.104896444401085,0.622933929673648,0.622933929673648
20100,-994481.438,1286621.75,3176.089,2.229,-1545264.125,462252,3150.239,2.851,0.806039,0.578005,0.991861,0.622106,-0.0709819241703685,0.622105959092705,0.622105959092705
21100,64671.484,118996.281,264.521,1.073,-14481.086,137595.313,270.225,1.676,0.841587,0.579075,1.021565,0.602678,0.18532628129486,0.602677712401524,0.602677712401524
22100,46579.934,28803.42,106.965,0.554,-6938.552,56893.605,111.944,1.692,0.438609,0.950198,1.046544,1.13834,0.395148852560117,1.13833990006933,1.13833990006933
23100,18992.232,1608.285,37.227,0.084,10522.037,21574.262,46.882,1.117,0.645582,1.081283,1.259345,1.032547,2.00289229695307,1.03254741422735,1.03254741422735
24100,1138.977,1673.024,3.953,0.973,1776.113,2716.731,6.339,0.992,1.603433,0.029982,1.603713,0.018697,4.1025345464058,0.0186964509543877,0.0186964509543877
25100,-2606.345,11399.133,22.838,1.796,-9601.269,-166.937,18.755,-3.124,0.169098,0.803617,0.821216,1.363401,-1.71086034147219,1.36340082086215,1.36340082086215
26100,-7544.878,15531.386,33.725,2.023,-14788.705,7698.607,32.564,2.662,0.77528,0.575564,0.965574,0.638617,-0.304289452519122,0.638616118987609,0.638616118987609
27100,1960.312,19120.496,37.54,1.469,-11637.326,16809.914,39.932,2.176,0.808262,0.691497,1.063699,0.7077,0.536375015449445,0.707699060136114,0.707699060136114
28100,19711.465,3549.387,39.118,0.178,10558.852,13792.689,33.926,0.917,0.640889,0.584326,0.86728,0.739266,-1.23680767758724,0.73926514391341,0.73926514391341
29100,17820.697,-6686.098,37.175,-0.359,6015.597,14823.248,31.245,1.185,0.022337,0.84018,0.840477,1.544216,-1.50948464715631,1.54421661824328,1.54421661824328
30100,10777.015,-3107.341,21.906,-0.281,8832.901,6281.68,21.17,0.618,0.601536,0.756319,0.966366,0.898899,-0.297163712038458,0.898899065044914,0.898899065044914
31100,2172.135,-9176.912,18.419,-1.338,5545.462,1201.344,11.082,0.213,0.011479,0.601567,0.601677,1.551717,-4.41273886567539,1.55171681100693,1.55171681100693
32100,-751.298,-2881.142,5.815,-1.826,-42.186,-2425.469,4.738,-1.588,0.791819,0.191836,0.814726,0.237692,-1.77976897375708,0.237692640242207,0.237692640242207
33100,4230.426,2288.865,9.394,0.496,-595.397,3922.457,7.749,1.721,0.279191,0.776146,0.824833,1.225494,-1.67267465464769,1.22549347967839,1.22549347967839
34100,8640.37,1019.648,16.993,0.117,6329.062,4870.043,15.597,0.656,0.788039,0.470642,0.917883,0.538381,-0.744252667552709,0.538381619419007,0.538381619419007
35100,11079.748,-2130.865,22.037,-0.19,7563.861,3925.093,16.644,0.479,0.592624,0.468232,0.755278,0.668675,-2.43786670413778,0.668674906448975,0.668674906448975
36100,10276.286,-8261.946,25.753,-0.677,12162.15,692.679,23.793,0.057,0.68594,0.618889,0.923871,0.734056,-0.687775064861604,0.734056512541024,0.734056512541024
37100,7191.012,-9397.909,23.112,-0.918,11199.381,-4844.289,23.832,-0.408,0.900235,0.502855,1.031157,0.509408,0.266501799182674,0.509408136611966,0.509408136611966
38100,2876.29,-8272.74,17.106,-1.236,7989.346,-8869.522,23.315,-0.838,1.256073,0.529029,1.362934,0.398628,2.6895011325206,0.398628041802127,0.398628041802127
39100,-2290.709,-3705.621,8.509,-2.124,3156.679,-7561.168,16.003,-1.175,1.095306,1.52895,1.880793,0.949163,5.48682125618464,0.949162840776039,0.949162840776039
40100,3256.736,-7797.427,16.504,-1.175,4751.286,-746.471,9.394,-0.156,0.298213,0.484786,0.569165,1.019317,-4.89524081400795,1.01931618469246,1.01931618469246
41100,3350.322,-1705.137,7.342,-0.471,2535.276,-539.175,5.062,-0.21,0.666095,0.178075,0.689488,0.261232,-3.22946984764057,0.261232546119506,0.261232546119506
42100,5320.055,-2169.567,11.222,-0.387,5399.268,616.007,10.614,0.114,0.829686,0.454143,0.945846,0.50082,-0.483591042254477,0.500819710650427,0.500819710650427
43100,1056.985,-3977.857,8.039,-1.311,8275.148,-1970.903,16.614,-0.234,0.97911,1.820136,2.066774,1.077265,6.30585641782994,1.0772653061804,1.0772653061804
44100,-2424.792,-3175.454,7.803,-2.223,2364.896,-5155.183,11.078,-1.141,0.666265,1.253505,1.419572,1.082251,3.04314670821,1.08225057008924,1.08225057008924
45100,-2988.762,1438.838,6.479,2.693,4267.36,-6796.439,15.674,-1.01,-2.047914,1.2881,2.419329,2.580135,7.67389903429993,2.58013536594957,2.58013536594957
46100,-3643.898,3780.717,10.256,2.338,-2123.663,-1374.175,4.94,-2.567,0.092234,0.472813,0.481726,1.378142,-6.34401127444033,1.3781407895572,1.3781407895572
47100,-917.558,5523.63,10.936,1.735,1671.245,-2056.746,5.176,-0.888,-0.411266,-0.234245,0.473297,-2.623847,-6.49731735520963,-2.62384832602532,3.65933698115427
48100,3009.208,3842.979,9.533,0.906,1333.5,-429.482,2.736,-0.312,0.099157,-0.269353,0.287024,-1.218063,-10.8416161030107,-1.21806196953189,5.06512333764769
49100,3622.213,1100.168,7.394,0.295,3591.887,-652.896,7.13,-0.18,0.857753,-0.440771,0.964375,-0.47468,-0.315080464900387,-0.474679602994597,5.80850570418499
50100,-105.292,-183.713,0.414,-2.091,3808.895,-1450.673,7.961,-0.364,-3.000608,19.013124,19.248444,1.727323,25.6879118099111,1.72732306559654,8.01050837277612
51100,-1131.705,-2351.291,5.097,-2.019,458.28,-3342.493,6.589,-1.435,1.078012,0.713766,1.292893,0.584844,2.23125029312537,0.584843591169196,6.86802889834878
52100,-3822.274,1485.36,8.009,2.771,-2501.346,-3328.394,8.132,-2.215,0.274557,0.977483,1.01531,1.296971,0.131973970226161,1.29697029313976,7.58015560031934
53100,-5415.327,1326.56,10.89,2.901,-4515.478,-1089.147,9.072,-2.905,0.740151,0.382433,0.833113,0.476915,-1.58591406802672,0.476914955054426,6.76010026223401
54100,-2421.273,5476.416,11.695,1.987,-4310.277,3280.535,10.579,2.491,0.792162,0.436825,0.90462,0.503944,-0.870679636628181,0.50394344553941,6.787128752719
55100,731.568,4582.366,9.063,1.412,-1641.713,6312.635,12.739,1.825,1.287579,0.563828,1.405617,0.412744,2.9573456127199,0.412744276519396,6.69592958369898
56100,879.514,1902.898,4.094,1.138,296.292,5039.966,9.861,1.512,2.241663,0.880384,2.408345,0.37423,7.6343765224156,0.374229531563771,6.65741483874336
57100,37.812,835.795,1.634,1.526,1228.383,3496.292,7.238,1.233,4.241005,-1.277854,4.429338,-0.292658,12.9267762547517,-0.292657500281658,5.99052780689793
58100,1530.71,977.41,3.547,0.568,32.495,1140.343,2.228,1.542,0.352996,0.519576,0.628145,0.974036,-4.03881005945402,0.974035248563891,7.25722055574348
59100,-920.714,2139.882,4.55,1.977,-178.265,-9.342,0.349,-3.089,0.026561,0.071878,0.076628,1.216835,-22.3121886370934,1.21683082247894,7.50001612965853
60100,13965.537,3397.487,28.072,0.239,-5819.972,481.503,11.406,3.059,-0.385533,0.128269,0.406311,2.820407,-7.8228283529476,2.82040713772064,9.10359244490023
61100,2109.405,3393.47,7.804,1.015,-3108.439,2372.845,7.638,2.49,0.093655,0.974223,0.978714,1.474958,-0.186881179256078,1.47495781422294,7.75814312140252
62100,6449.43,-467.576,12.63,-0.072,-1636.866,3315.42,7.222,2.029,-0.289547,0.493072,0.571802,2.101774,-4.85508745962581,2.10177369899043,8.38495900617001
63100,5548.801,-2983.126,12.304,-0.493,55.027,2633.25,5.144,1.55,-0.190232,0.37229,0.418077,2.043188,-7.57488243068206,2.04318771709939,8.32637302427897
64100,2538.166,-1253.359,5.529,-0.459,1396.109,405.64,2.84,0.283,0.378768,0.346854,0.513588,0.741444,-5.78769833868953,0.741444912358818,7.0246302195384
65100,2176.795,-1007.152,4.685,-0.433,2.497,-256.432,0.501,-1.561,0.045839,-0.096594,0.106919,-1.127713,-19.4189241960269,-1.12771253291407,5.15547277426551
66100,2449.945,-1007.809,5.174,-0.39,482.334,-88.556,0.958,-0.182,0.1811,0.038351,0.185116,0.208684,-14.651111251626,0.208683938435254,6.49186924561484
67100,2551.963,1576.847,5.859,0.553,455.517,1911.249,3.837,1.337,0.464077,0.462182,0.654965,0.783352,-3.67563296237689,0.783352302190023,7.06653760936961
68100,6194.748,677.148,12.171,0.109,2039.4,2253.328,5.936,0.835,0.364619,0.323892,0.487702,0.726314,-6.23691288332143,0.726314723463437,7.00950003064302
69100,7311.429,1524.996,14.587,0.206,5243.191,1952.932,10.928,0.357,0.740615,0.112632,0.74913,0.150922,-2.50885010862129,0.150922591780482,6.43410789896007
70100,6401.406,-2368.802,13.331,-0.354,7650.789,-319.513,14.956,-0.042,1.067472,0.345098,1.121868,0.312681,0.998839663580396,0.31268022583475,6.59586553301434
71100,5265.777,-1384.837,10.634,-0.257,5778.46,-2746.194,12.496,-0.444,1.154655,-0.217857,1.175028,-0.186485,1.40096129509289,-0.186484866173412,6.09670044100617
72100,4562.966,-2501.749,10.164,-0.502,5447.851,-3842.767,13.021,-0.614,1.272997,-0.144215,1.281139,-0.112807,2.15193083794302,-0.112806825299683,6.1703784818799
73100,3170.766,-950.957,6.465,-0.291,3345.851,-2916.263,8.669,-0.717,1.221213,-0.553476,1.340782,-0.425527,2.5471646321957,-0.425526987130795,5.85765832004879
74100,4327.848,74.481,8.454,0.017,2766.859,-2051.899,6.728,-0.638,0.630969,-0.484974,0.795815,-0.655311,-1.98375658822558,-0.655310407889352,5.62787489929023
75100,3631.708,-826.395,7.275,-0.224,3094.344,550.236,6.138,0.176,0.777311,0.328386,0.843831,0.399721,-1.47489658219396,0.399720766752697,6.68290607393228
76100,4222.061,-1916.411,9.056,-0.426,4332.99,870.167,8.632,0.198,0.773384,0.557143,0.953169,0.624283,-0.416601855254981,0.624284026120397,6.90746933329998
77100,1883.283,-2419.802,5.989,-0.909,4504.967,683.555,8.899,0.151,0.726433,1.296341,1.486003,1.060025,3.44039367624525,1.06002497529618,7.34321028247577
78100,-875.363,-1711.536,3.755,-2.044,5662.716,-607.183,11.123,-0.107,-1.060098,2.766373,2.962537,1.936744,9.43327658620694,1.93674410921067,8.21992941639026
79100,-2615.315,309.893,5.144,3.024,4431.314,-897.437,8.831,-0.2,-1.711008,0.140407,1.716759,3.059715,4.69418818567394,3.05971512866967,9.34290043584926
80100,-9070.392,-6849.798,22.2,-2.495,-485.083,-1161.029,2.458,-1.967,0.095615,0.055795,0.110704,0.528227,-19.1167568986621,0.528227249728208,6.81141255690779
81100,127.31,4145.322,8.1,1.54,3001.577,-46.466,5.863,-0.015,0.011018,-0.723749,0.723833,-1.555573,-2.80723408287442,-1.55557399286621,4.72761131431337
82100,1462.905,2975.049,6.475,1.114,2727.134,1984.644,6.588,0.629,0.900186,-0.474025,1.017367,-0.484689,0.149548408129249,-0.484689201952528,5.79849610522706
83100,2185.472,114.567,4.274,0.052,3545.119,142.16,6.93,0.04,1.621085,-0.019933,1.621207,-0.012295,4.19677232136288,-0.0122954660055664,6.27088984117402
84100,791.337,-1828.44,3.891,-1.162,1628.945,-1908.309,4.9,-0.864,1.203775,0.369907,1.259327,0.298131,2.00277288639963,0.298130602488833,6.58131590966842
85100,-675.777,-2836.836,5.696,-1.805,464.418,-2760.158,5.467,-1.404,0.883819,0.374249,0.95979,0.400553,-0.356468538896854,0.400553064378791,6.68373837155838
86100,-3204.052,-1089.643,6.61,-2.814,-2070.32,-1889.432,5.474,-2.402,0.758929,0.331602,0.828211,0.411936,-1.63718231054163,0.411935402712561,6.69512070989215
87100,-3814.039,-100.265,7.452,-3.115,-3123.553,26.208,6.101,3.133,0.818216,-0.028381,0.818708,-0.034673,-1.73741857545891,-0.0346725388137838,6.2485127683658
88100,-1393.787,2221.211,5.122,2.131,-2568.654,2258.807,6.681,2.42,1.250279,0.371883,1.304413,0.289107,2.30830560708577,0.289106529438891,6.57229183661848
89100,-1278.178,3423.155,7.137,1.928,-1466.594,5798.915,11.683,1.819,1.627142,-0.179128,1.636972,-0.109646,4.28082599155733,-0.109645982940902,6.17353932423868
90100,261.042,1610.303,3.186,1.41,332.258,2977.982,5.852,1.46,1.834568,0.091064,1.836827,0.049597,5.28136376665379,0.0495971362404596,6.33278244342005
91100,895.251,-16.484,1.749,-0.018,930.205,2082.212,4.454,1.151,0.995882,2.344178,2.54695,1.169068,8.12040647813216,1.16906792335092,7.4522532305305
92100,-168.642,549.806,1.123,1.868,301.292,-33.557,0.592,-0.111,-0.209418,-0.483762,0.527145,-1.979334,-5.5614025393716,-1.97933479739832,10.5870358169608
93100,1599.323,1138.551,3.834,0.619,-90.628,-1288.468,2.523,-1.641,-0.418234,-0.507895,0.657934,-2.259683,-3.63635479075698,-2.25968261843344,10.3066879959257
94100,3431.795,1620.089,7.412,0.441,148.997,1474.418,2.894,1.47,0.201363,0.334575,0.390496,1.029019,-8.16765788739215,1.02901975715338,7.31220506433297
95100,5391.188,701.8,10.619,0.129,-2343.874,-411.574,4.648,-2.968,-0.437288,-0.019418,0.437719,-3.097217,-7.1760936031679,-3.09721628846841,9.46915432589076
96100,3527.622,-465.252,6.95,-0.131,-1216.998,-98.375,2.385,-3.061,-0.335478,-0.072133,0.343145,-2.929802,-9.2904403325539,-2.92980159271581,9.63656902164336
97100,6729.656,-1343.689,13.403,-0.197,630.391,178.926,1.28,0.277,0.084977,0.043555,0.095489,0.473635,-20.400942890918,0.473637487850774,6.75682279503036
98100,2534.288,-1129.473,5.419,-0.419,-46.295,-1042.533,2.038,-1.615,0.137717,-0.349994,0.376114,-1.19592,-8.49360905710039,-1.1959198780933,5.08726542908628
99100,3652.821,-3917.083,10.461,-0.82,-422.678,1612.984,3.257,1.827,-0.27407,0.147674,0.311323,2.647375,-10.1357774394335,2.64737456008699,2.64737456008699
